[ Info: 48_29: File for first layer exists [2], 2611; loading ...
[ Info: 48_29: layer 2/4, base field no. 1/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 1/793, checking fields: 14
[ Info: 48_29: layer 2/4, base field no. 1/793, 1/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 2/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 3/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 4/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 5/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 6/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 7/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 8/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 9/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 10/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 11/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 12/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 13/14
[ Info: 48_29: layer 2/4, base field no. 1/793, 14/14
[ Info: 48_29: layer 2/4, base field no. 2/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 2/793, checking fields: 7
[ Info: 48_29: layer 2/4, base field no. 2/793, 1/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 2/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 3/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 4/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 5/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 6/7
[ Info: 48_29: layer 2/4, base field no. 2/793, 7/7
[ Info: 48_29: layer 2/4, base field no. 3/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 3/793, checking fields: 26
[ Info: 48_29: layer 2/4, base field no. 3/793, 1/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 2/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 3/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 4/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 5/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 6/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 7/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 8/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 9/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 10/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 11/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 12/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 13/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 14/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 15/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 16/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 17/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 18/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 19/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 20/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 21/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 22/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 23/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 24/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 25/26
[ Info: 48_29: layer 2/4, base field no. 3/793, 26/26
[ Info: 48_29: layer 2/4, base field no. 4/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 4/793, checking fields: 4
[ Info: 48_29: layer 2/4, base field no. 4/793, 1/4
[ Info: 48_29: layer 2/4, base field no. 4/793, 2/4
[ Info: 48_29: layer 2/4, base field no. 4/793, 3/4
[ Info: 48_29: layer 2/4, base field no. 4/793, 4/4
[ Info: 48_29: layer 2/4, base field no. 5/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 5/793, checking fields: 7
[ Info: 48_29: layer 2/4, base field no. 5/793, 1/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 2/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 3/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 4/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 5/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 6/7
[ Info: 48_29: layer 2/4, base field no. 5/793, 7/7
[ Info: 48_29: layer 2/4, base field no. 6/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 6/793, checking fields: 3
[ Info: 48_29: layer 2/4, base field no. 6/793, 1/3
[ Info: 48_29: layer 2/4, base field no. 6/793, 2/3
[ Info: 48_29: layer 2/4, base field no. 6/793, 3/3
[ Info: 48_29: layer 2/4, base field no. 7/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 7/793, checking fields: 5
[ Info: 48_29: layer 2/4, base field no. 7/793, 1/5
[ Info: 48_29: layer 2/4, base field no. 7/793, 2/5
[ Info: 48_29: layer 2/4, base field no. 7/793, 3/5
[ Info: 48_29: layer 2/4, base field no. 7/793, 4/5
[ Info: 48_29: layer 2/4, base field no. 7/793, 5/5
[ Info: 48_29: layer 2/4, base field no. 8/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 8/793, checking fields: 3
[ Info: 48_29: layer 2/4, base field no. 8/793, 1/3
[ Info: 48_29: layer 2/4, base field no. 8/793, 2/3
[ Info: 48_29: layer 2/4, base field no. 8/793, 3/3
[ Info: 48_29: layer 2/4, base field no. 9/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 9/793, checking fields: 16
[ Info: 48_29: layer 2/4, base field no. 9/793, 1/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 2/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 3/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 4/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 5/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 6/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 7/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 8/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 9/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 10/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 11/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 12/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 13/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 14/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 15/16
[ Info: 48_29: layer 2/4, base field no. 9/793, 16/16
[ Info: 48_29: layer 2/4, base field no. 10/793, constructing abelian extensions
[ Info: 48_29: layer 2/4, base field no. 10/793, checking fields: 3
