[ Info: 48_31: File for first layer exists [12], 562341325190349080416; loading ...
[ Info: 48_31: layer 2/2, base field no. 1/59, constructing abelian extensions
[ Info: 48_31: layer 2/2, base field no. 1/59, checking fields: 9
[ Info: 48_31: layer 2/2, base field no. 1/59, 1/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 2/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 3/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 4/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 5/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 6/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 7/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 8/9
[ Info: 48_31: layer 2/2, base field no. 1/59, 9/9
[ Info: 48_31: layer 2/2, base field no. 2/59, constructing abelian extensions
[ Info: 48_31: layer 2/2, base field no. 2/59, checking fields: 8
[ Info: 48_31: layer 2/2, base field no. 2/59, 1/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 2/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 3/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 4/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 5/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 6/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 7/8
[ Info: 48_31: layer 2/2, base field no. 2/59, 8/8
[ Info: 48_31: layer 2/2, base field no. 3/59, constructing abelian extensions
[ Info: 48_31: layer 2/2, base field no. 3/59, checking fields: 4
[ Info: 48_31: layer 2/2, base field no. 3/59, 1/4
[ Info: 48_31: layer 2/2, base field no. 3/59, 2/4
[ Info: 48_31: layer 2/2, base field no. 3/59, 3/4
[ Info: 48_31: layer 2/2, base field no. 3/59, 4/4
[ Info: 48_31: layer 2/2, base field no. 4/59, constructing abelian extensions
[ Info: 48_31: layer 2/2, base field no. 4/59, checking fields: 1
[ Info: 48_31: layer 2/2, base field no. 4/59, 1/1
