[ Info: 48_12: File for first layer exists [2, 4], 46415888336128; loading ...
[ Info: 48_12: layer 2/2, base field no. 1/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 1/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 2/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 2/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 3/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 3/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 4/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 4/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 5/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 5/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 6/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 6/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 7/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 7/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 8/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 8/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 9/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 9/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 10/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 10/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 11/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 11/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 12/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 12/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 13/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 13/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 14/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 14/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 15/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 15/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 16/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 16/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 17/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 17/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 18/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 18/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 19/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 19/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 20/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 20/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 21/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 21/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 22/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 22/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 23/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 23/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 24/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 24/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 25/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 25/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 26/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 26/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 27/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 27/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 28/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 28/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 29/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 29/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 30/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 30/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 31/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 31/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 32/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 32/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 33/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 33/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 34/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 34/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 35/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 35/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 36/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 36/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 37/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 37/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 38/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 38/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 39/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 39/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 40/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 40/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 41/168, constructing abelian extensions
[ Info: 48_12: layer 2/2, base field no. 41/168, checking fields: 0
[ Info: 48_12: layer 2/2, base field no. 42/168, constructing abelian extensions
