[ Info: 48_15: File for first layer exists [2, 2], 6812921; loading ...
[ Info: 48_15: layer 2/2, base field no. 1/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 1/683, checking fields: 1
[ Info: 48_15: layer 2/2, base field no. 1/683, 1/1
[ Info: 48_15: layer 2/2, base field no. 2/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 2/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 3/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 3/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 4/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 4/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 5/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 5/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 6/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 6/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 7/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 7/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 8/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 8/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 9/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 9/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 10/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 10/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 11/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 11/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 12/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 12/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 13/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 13/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 14/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 14/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 15/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 15/683, checking fields: 1
[ Info: 48_15: layer 2/2, base field no. 15/683, 1/1
[ Info: 48_15: layer 2/2, base field no. 16/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 16/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 17/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 17/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 18/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 18/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 19/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 19/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 20/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 20/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 21/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 21/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 22/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 22/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 23/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 23/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 24/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 24/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 25/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 25/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 26/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 26/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 27/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 27/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 28/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 28/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 29/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 29/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 30/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 30/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 31/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 31/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 32/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 32/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 33/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 33/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 34/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 34/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 35/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 35/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 36/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 36/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 37/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 37/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 38/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 38/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 39/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 39/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 40/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 40/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 41/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 41/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 42/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 42/683, checking fields: 0
[ Info: 48_15: layer 2/2, base field no. 43/683, constructing abelian extensions
[ Info: 48_15: layer 2/2, base field no. 43/683, checking fields: 0
