[ Info: 48_50: File for first layer exists [3], 133353; loading ...
[ Info: 48_50: layer 2/2, base field no. 1/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 1/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 2/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 2/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 3/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 3/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 4/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 4/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 5/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 5/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 6/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 6/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 7/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 7/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 8/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 8/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 9/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 9/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 10/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 10/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 11/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 11/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 12/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 12/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 13/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 13/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 14/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 14/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 15/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 15/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 16/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 16/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 17/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 17/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 18/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 18/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 19/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 19/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 20/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 20/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 21/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 21/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 22/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 22/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 23/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 23/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 24/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 24/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 25/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 25/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 26/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 26/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 27/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 27/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 28/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 28/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 29/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 29/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 30/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 30/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 31/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 31/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 32/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 32/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 33/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 33/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 34/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 34/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 35/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 35/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 36/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 36/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 37/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 37/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 38/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 38/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 39/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 39/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 40/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 40/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 41/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 41/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 42/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 42/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 43/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 43/56, checking fields: 0
[ Info: 48_50: layer 2/2, base field no. 44/56, constructing abelian extensions
[ Info: 48_50: layer 2/2, base field no. 44/56, checking fields: 0
