[ Info: 84_2: File for first layer exists [12], 100000000000000000000; loading ...
[ Info: 84_2: layer 2/2, base field no. 1/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 1/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 2/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 2/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 3/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 3/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 4/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 4/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 5/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 5/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 6/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 6/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 7/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 7/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 8/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 8/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 9/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 9/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 10/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 10/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 11/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 11/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 12/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 12/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 13/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 13/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 14/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 14/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 15/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 15/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 16/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 16/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 17/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 17/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 18/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 18/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 19/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 19/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 20/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 20/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 21/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 21/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 22/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 22/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 23/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 23/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 24/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 24/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 25/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 25/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 26/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 26/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 27/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 27/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 28/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 28/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 29/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 29/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 30/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 30/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 31/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 31/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 32/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 32/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 33/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 33/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 34/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 34/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 35/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 35/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 36/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 36/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 37/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 37/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 38/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 38/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 39/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 39/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 40/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 40/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 41/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 41/42, checking fields: 0
[ Info: 84_2: layer 2/2, base field no. 42/42, constructing abelian extensions
[ Info: 84_2: layer 2/2, base field no. 42/42, checking fields: 0
 15.292045 seconds (47.96 M allocations: 2.971 GiB, 10.09% gc time, 45.67% compilation time: 4% of which was recompilation)
