[ Info: 48_30: File for first layer exists [4], 8254042; loading ...
[ Info: 48_30: layer 2/3, base field no. 1/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 1/193, checking fields: 2
[ Info: 48_30: layer 2/3, base field no. 1/193, 1/2
[ Info: 48_30: layer 2/3, base field no. 1/193, 2/2
[ Info: 48_30: layer 2/3, base field no. 2/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 2/193, checking fields: 2
[ Info: 48_30: layer 2/3, base field no. 2/193, 1/2
[ Info: 48_30: layer 2/3, base field no. 2/193, 2/2
[ Info: 48_30: layer 2/3, base field no. 3/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 3/193, checking fields: 16
[ Info: 48_30: layer 2/3, base field no. 3/193, 1/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 2/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 3/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 4/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 5/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 6/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 7/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 8/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 9/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 10/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 11/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 12/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 13/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 14/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 15/16
[ Info: 48_30: layer 2/3, base field no. 3/193, 16/16
[ Info: 48_30: layer 2/3, base field no. 4/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 4/193, checking fields: 5
[ Info: 48_30: layer 2/3, base field no. 4/193, 1/5
[ Info: 48_30: layer 2/3, base field no. 4/193, 2/5
[ Info: 48_30: layer 2/3, base field no. 4/193, 3/5
[ Info: 48_30: layer 2/3, base field no. 4/193, 4/5
[ Info: 48_30: layer 2/3, base field no. 4/193, 5/5
[ Info: 48_30: layer 2/3, base field no. 5/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 5/193, checking fields: 4
[ Info: 48_30: layer 2/3, base field no. 5/193, 1/4
[ Info: 48_30: layer 2/3, base field no. 5/193, 2/4
[ Info: 48_30: layer 2/3, base field no. 5/193, 3/4
[ Info: 48_30: layer 2/3, base field no. 5/193, 4/4
[ Info: 48_30: layer 2/3, base field no. 6/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 6/193, checking fields: 4
[ Info: 48_30: layer 2/3, base field no. 6/193, 1/4
[ Info: 48_30: layer 2/3, base field no. 6/193, 2/4
[ Info: 48_30: layer 2/3, base field no. 6/193, 3/4
[ Info: 48_30: layer 2/3, base field no. 6/193, 4/4
[ Info: 48_30: layer 2/3, base field no. 7/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 7/193, checking fields: 0
[ Info: 48_30: layer 2/3, base field no. 8/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 8/193, checking fields: 0
[ Info: 48_30: layer 2/3, base field no. 9/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 9/193, checking fields: 0
[ Info: 48_30: layer 2/3, base field no. 10/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 10/193, checking fields: 0
[ Info: 48_30: layer 2/3, base field no. 11/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 11/193, checking fields: 0
[ Info: 48_30: layer 2/3, base field no. 12/193, constructing abelian extensions
[ Info: 48_30: layer 2/3, base field no. 12/193, checking fields: 1
[ Info: 48_30: layer 2/3, base field no. 12/193, 1/1
[ Info: 48_30: layer 2/3, base field no. 13/193, constructing abelian extensions
