[ Info: 48_33: File for first layer exists [6], 23713737057; loading ...
[ Info: 48_33: layer 2/3, base field no. 1/319, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 1/319, checking fields: 23
[ Info: 48_33: layer 2/3, base field no. 1/319, 1/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 2/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 3/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 4/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 5/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 6/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 7/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 8/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 9/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 10/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 11/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 12/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 13/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 14/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 15/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 16/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 17/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 18/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 19/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 20/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 21/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 22/23
[ Info: 48_33: layer 2/3, base field no. 1/319, 23/23
[ Info: 48_33: layer 2/3, base field no. 2/319, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 2/319, checking fields: 51
[ Info: 48_33: layer 2/3, base field no. 2/319, 1/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 2/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 3/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 4/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 5/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 6/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 7/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 8/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 9/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 10/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 11/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 12/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 13/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 14/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 15/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 16/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 17/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 18/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 19/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 20/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 21/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 22/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 23/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 24/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 25/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 26/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 27/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 28/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 29/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 30/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 31/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 32/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 33/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 34/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 35/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 36/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 37/51
[ Info: 48_33: layer 2/3, base field no. 2/319, 38/51
