[ Info: 72_35: File for first layer exists [2, 2], 5274998; loading ...
[ Info: 72_35: layer 2/2, base field no. 1/1241, constructing abelian extensions
[ Info: 72_35: layer 2/2, base field no. 1/1241, checking fields: 70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 1/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 2/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 3/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 4/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 5/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 6/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 7/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 8/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 9/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 10/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 11/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 12/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 13/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 14/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 15/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 16/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 17/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 18/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 19/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 20/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 21/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 22/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 23/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 24/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 25/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 26/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 27/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 28/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 29/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 30/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 31/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 32/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 33/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 34/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 35/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 36/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 37/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 38/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 39/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 40/70
[ Info: 72_35: layer 2/2, base field no. 1/1241, 41/70
