[ Info: 56_1: File for first layer exists [8], 51794746792313; loading ...
[ Info: 56_1: layer 2/2, base field no. 1/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 1/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 2/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 2/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 3/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 3/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 4/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 4/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 5/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 5/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 6/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 6/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 7/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 7/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 8/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 8/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 9/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 9/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 10/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 10/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 11/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 11/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 12/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 12/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 13/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 13/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 14/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 14/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 15/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 15/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 16/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 16/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 17/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 17/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 18/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 18/19, checking fields: 0
[ Info: 56_1: layer 2/2, base field no. 19/19, constructing abelian extensions
[ Info: 56_1: layer 2/2, base field no. 19/19, checking fields: 0
  6.087129 seconds (17.45 M allocations: 956.783 MiB, 5.20% gc time, 70.73% compilation time: 5% of which was recompilation)
