[ Info: 40_13: File for first layer exists [2, 2, 2], 100000000000000; loading ...
[ Info: 40_13: layer 2/2, base field no. 1/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 1/336, checking fields: 3
[ Info: 40_13: layer 2/2, base field no. 1/336, 1/3
[ Info: 40_13: layer 2/2, base field no. 1/336, 2/3
[ Info: 40_13: layer 2/2, base field no. 1/336, 3/3
[ Info: 40_13: layer 2/2, base field no. 2/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 2/336, checking fields: 2
[ Info: 40_13: layer 2/2, base field no. 2/336, 1/2
[ Info: 40_13: layer 2/2, base field no. 2/336, 2/2
[ Info: 40_13: layer 2/2, base field no. 3/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 3/336, checking fields: 0
[ Info: 40_13: layer 2/2, base field no. 4/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 4/336, checking fields: 2
[ Info: 40_13: layer 2/2, base field no. 4/336, 1/2
[ Info: 40_13: layer 2/2, base field no. 4/336, 2/2
[ Info: 40_13: layer 2/2, base field no. 5/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 5/336, checking fields: 6
[ Info: 40_13: layer 2/2, base field no. 5/336, 1/6
[ Info: 40_13: layer 2/2, base field no. 5/336, 2/6
[ Info: 40_13: layer 2/2, base field no. 5/336, 3/6
[ Info: 40_13: layer 2/2, base field no. 5/336, 4/6
[ Info: 40_13: layer 2/2, base field no. 5/336, 5/6
[ Info: 40_13: layer 2/2, base field no. 5/336, 6/6
[ Info: 40_13: layer 2/2, base field no. 6/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 6/336, checking fields: 2
[ Info: 40_13: layer 2/2, base field no. 6/336, 1/2
[ Info: 40_13: layer 2/2, base field no. 6/336, 2/2
[ Info: 40_13: layer 2/2, base field no. 7/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 7/336, checking fields: 2
[ Info: 40_13: layer 2/2, base field no. 7/336, 1/2
[ Info: 40_13: layer 2/2, base field no. 7/336, 2/2
[ Info: 40_13: layer 2/2, base field no. 8/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 8/336, checking fields: 4
[ Info: 40_13: layer 2/2, base field no. 8/336, 1/4
[ Info: 40_13: layer 2/2, base field no. 8/336, 2/4
[ Info: 40_13: layer 2/2, base field no. 8/336, 3/4
[ Info: 40_13: layer 2/2, base field no. 8/336, 4/4
[ Info: 40_13: layer 2/2, base field no. 9/336, constructing abelian extensions
[ Info: 40_13: layer 2/2, base field no. 9/336, checking fields: 2
[ Info: 40_13: layer 2/2, base field no. 9/336, 1/2
