[ Info: 72_17: File for first layer exists [2, 2, 2], 27825594022072; loading ...
[ Info: 72_17: layer 2/2, base field no. 1/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 1/255, checking fields: 1
[ Info: 72_17: layer 2/2, base field no. 1/255, 1/1
[ Info: 72_17: layer 2/2, base field no. 2/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 2/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 3/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 3/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 4/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 4/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 5/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 5/255, checking fields: 1
[ Info: 72_17: layer 2/2, base field no. 5/255, 1/1
[ Info: 72_17: layer 2/2, base field no. 6/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 6/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 7/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 7/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 8/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 8/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 9/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 9/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 10/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 10/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 11/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 11/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 12/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 12/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 13/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 13/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 14/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 14/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 15/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 15/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 16/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 16/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 17/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 17/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 18/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 18/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 19/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 19/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 20/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 20/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 21/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 21/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 22/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 22/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 23/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 23/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 24/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 24/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 25/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 25/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 26/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 26/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 27/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 27/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 28/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 28/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 29/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 29/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 30/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 30/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 31/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 31/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 32/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 32/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 33/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 33/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 34/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 34/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 35/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 35/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 36/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 36/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 37/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 37/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 38/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 38/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 39/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 39/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 40/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 40/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 41/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 41/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 42/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 42/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 43/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 43/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 44/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 44/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 45/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 45/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 46/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 46/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 47/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 47/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 48/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 48/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 49/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 49/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 50/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 50/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 51/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 51/255, checking fields: 0
[ Info: 72_17: layer 2/2, base field no. 52/255, constructing abelian extensions
[ Info: 72_17: layer 2/2, base field no. 52/255, checking fields: 0
