[ Info: 48_28: File for first layer exists [2], 2873; loading ...
[ Info: 48_28: layer 2/4, base field no. 1/954, constructing abelian extensions
[ Info: 48_28: layer 2/4, base field no. 1/954, checking fields: 118
[ Info: 48_28: layer 2/4, base field no. 1/954, 1/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 2/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 3/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 4/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 5/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 6/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 7/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 8/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 9/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 10/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 11/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 12/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 13/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 14/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 15/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 16/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 17/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 18/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 19/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 20/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 21/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 22/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 23/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 24/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 25/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 26/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 27/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 28/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 29/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 30/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 31/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 32/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 33/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 34/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 35/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 36/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 37/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 38/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 39/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 40/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 41/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 42/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 43/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 44/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 45/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 46/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 47/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 48/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 49/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 50/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 51/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 52/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 53/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 54/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 55/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 56/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 57/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 58/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 59/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 60/118
[ Info: 48_28: layer 2/4, base field no. 1/954, 61/118
