[ Info: 80_38: File for first layer exists [2, 2, 2], 19952623149689; loading ...
[ Info: 80_38: layer 2/2, base field no. 1/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 1/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 2/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 2/234, checking fields: 6
[ Info: 80_38: layer 2/2, base field no. 2/234, 1/6
[ Info: 80_38: layer 2/2, base field no. 2/234, 2/6
[ Info: 80_38: layer 2/2, base field no. 2/234, 3/6
[ Info: 80_38: layer 2/2, base field no. 2/234, 4/6
[ Info: 80_38: layer 2/2, base field no. 2/234, 5/6
[ Info: 80_38: layer 2/2, base field no. 2/234, 6/6
[ Info: 80_38: layer 2/2, base field no. 3/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 3/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 4/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 4/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 5/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 5/234, checking fields: 10
[ Info: 80_38: layer 2/2, base field no. 5/234, 1/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 2/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 3/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 4/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 5/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 6/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 7/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 8/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 9/10
[ Info: 80_38: layer 2/2, base field no. 5/234, 10/10
[ Info: 80_38: layer 2/2, base field no. 6/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 6/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 7/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 7/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 8/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 8/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 9/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 9/234, checking fields: 2
[ Info: 80_38: layer 2/2, base field no. 9/234, 1/2
[ Info: 80_38: layer 2/2, base field no. 9/234, 2/2
[ Info: 80_38: layer 2/2, base field no. 10/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 10/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 11/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 11/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 12/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 12/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 13/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 13/234, checking fields: 6
[ Info: 80_38: layer 2/2, base field no. 13/234, 1/6
[ Info: 80_38: layer 2/2, base field no. 13/234, 2/6
[ Info: 80_38: layer 2/2, base field no. 13/234, 3/6
[ Info: 80_38: layer 2/2, base field no. 13/234, 4/6
[ Info: 80_38: layer 2/2, base field no. 13/234, 5/6
[ Info: 80_38: layer 2/2, base field no. 13/234, 6/6
[ Info: 80_38: layer 2/2, base field no. 14/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 14/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 15/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 15/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 16/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 16/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 17/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 17/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 18/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 18/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 19/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 19/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 20/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 20/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 21/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 21/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 22/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 22/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 23/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 23/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 24/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 24/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 25/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 25/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 26/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 26/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 27/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 27/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 28/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 28/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 29/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 29/234, checking fields: 4
[ Info: 80_38: layer 2/2, base field no. 29/234, 1/4
[ Info: 80_38: layer 2/2, base field no. 29/234, 2/4
[ Info: 80_38: layer 2/2, base field no. 29/234, 3/4
[ Info: 80_38: layer 2/2, base field no. 29/234, 4/4
[ Info: 80_38: layer 2/2, base field no. 30/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 30/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 31/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 31/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 32/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 32/234, checking fields: 2
[ Info: 80_38: layer 2/2, base field no. 32/234, 1/2
[ Info: 80_38: layer 2/2, base field no. 32/234, 2/2
[ Info: 80_38: layer 2/2, base field no. 33/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 33/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 34/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 34/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 35/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 35/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 36/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 36/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 37/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 37/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 38/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 38/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 39/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 39/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 40/234, constructing abelian extensions
