[ Info: 54_5: File for first layer exists [6], 21544346901; loading ...
[ Info: 54_5: layer 2/2, base field no. 1/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 1/307, checking fields: 2
[ Info: 54_5: layer 2/2, base field no. 1/307, 1/2
[ Info: 54_5: layer 2/2, base field no. 1/307, 2/2
[ Info: 54_5: layer 2/2, base field no. 2/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 2/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 3/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 3/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 4/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 4/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 5/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 5/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 6/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 6/307, checking fields: 4
[ Info: 54_5: layer 2/2, base field no. 6/307, 1/4
[ Info: 54_5: layer 2/2, base field no. 6/307, 2/4
[ Info: 54_5: layer 2/2, base field no. 6/307, 3/4
[ Info: 54_5: layer 2/2, base field no. 6/307, 4/4
[ Info: 54_5: layer 2/2, base field no. 7/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 7/307, checking fields: 4
[ Info: 54_5: layer 2/2, base field no. 7/307, 1/4
[ Info: 54_5: layer 2/2, base field no. 7/307, 2/4
[ Info: 54_5: layer 2/2, base field no. 7/307, 3/4
[ Info: 54_5: layer 2/2, base field no. 7/307, 4/4
[ Info: 54_5: layer 2/2, base field no. 8/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 8/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 9/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 9/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 9/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 10/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 10/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 11/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 11/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 12/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 12/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 13/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 13/307, checking fields: 26
[ Info: 54_5: layer 2/2, base field no. 13/307, 1/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 2/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 3/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 4/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 5/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 6/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 7/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 8/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 9/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 10/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 11/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 12/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 13/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 14/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 15/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 16/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 17/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 18/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 19/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 20/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 21/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 22/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 23/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 24/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 25/26
[ Info: 54_5: layer 2/2, base field no. 13/307, 26/26
[ Info: 54_5: layer 2/2, base field no. 14/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 14/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 15/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 15/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 16/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 16/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 16/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 17/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 17/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 18/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 18/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 19/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 19/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 20/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 20/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 20/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 21/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 21/307, checking fields: 9
[ Info: 54_5: layer 2/2, base field no. 21/307, 1/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 2/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 3/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 4/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 5/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 6/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 7/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 8/9
[ Info: 54_5: layer 2/2, base field no. 21/307, 9/9
[ Info: 54_5: layer 2/2, base field no. 22/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 22/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 23/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 23/307, checking fields: 12
[ Info: 54_5: layer 2/2, base field no. 23/307, 1/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 2/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 3/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 4/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 5/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 6/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 7/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 8/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 9/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 10/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 11/12
[ Info: 54_5: layer 2/2, base field no. 23/307, 12/12
[ Info: 54_5: layer 2/2, base field no. 24/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 24/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 25/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 25/307, checking fields: 3
[ Info: 54_5: layer 2/2, base field no. 25/307, 1/3
[ Info: 54_5: layer 2/2, base field no. 25/307, 2/3
[ Info: 54_5: layer 2/2, base field no. 25/307, 3/3
[ Info: 54_5: layer 2/2, base field no. 26/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 26/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 27/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 27/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 28/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 28/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 29/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 29/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 30/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 30/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 30/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 31/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 31/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 32/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 32/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 33/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 33/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 34/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 34/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 35/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 35/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 36/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 36/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 37/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 37/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 38/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 38/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 39/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 39/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 40/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 40/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 41/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 41/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 41/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 42/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 42/307, checking fields: 1
[ Info: 54_5: layer 2/2, base field no. 42/307, 1/1
[ Info: 54_5: layer 2/2, base field no. 43/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 43/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 44/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 44/307, checking fields: 0
[ Info: 54_5: layer 2/2, base field no. 45/307, constructing abelian extensions
[ Info: 54_5: layer 2/2, base field no. 45/307, checking fields: 11
[ Info: 54_5: layer 2/2, base field no. 45/307, 1/11
[ Info: 54_5: layer 2/2, base field no. 45/307, 2/11
